dataFile                                      basisSize       intensityMax    alpha           tpeak           tauOn           tauOff          length          FWHM(ps)        minAngle        minTime         maxAngle        maxTime         time            timeStep        pureDephase     lifeTime        temperature     molecule        Alignment FWHM 
Tau.1Power20                                  50              20              39.2753         5               .1              .1              15              0.11774         33.174648       5.150000        51.203344       5.440000        976             .01             0               0               0               biphenyl        0.21           
Tau.1Power50                                  50              50              39.2753         5               .1              .1              15              0.11774         17.368583       5.180000        58.521283       5.550000        1119            .01             0               0               0               biphenyl        0.29           
Tau.1Power35                                  50              35              39.2753         5               .1              .1              15              0.11774         25.714744       5.160000        56.643520       5.480000        1204            .01             0               0               0               biphenyl        0.23           
Tau.1Power65                                  50              65              39.2753         5               .1              .1              15              0.11774         10.039067       5.170000        64.147798       5.590000        1162            .01             0               0               0               biphenyl        0.28           
Tau.2Power80                                  50              80              39.2753         5               .2              .2              15              0.23548         5.693924        5.070000        72.154686       5.400000        1251            .01             0               0               0               biphenyl        0.22           
Tau.2Power65                                  50              65              39.2753         5               .2              .2              15              0.23548         6.598093        5.100000        72.830371       5.490000        1273            .01             0               0               0               biphenyl        0.25           
Tau.3Power20                                  50              20              39.2753         5               .3              .3              15              0.35322         29.981240       5.120000        51.304208       5.460000        1454            .01             0               0               0               biphenyl        0.32           
Tau.1Power80                                  50              80              39.2753         5               .1              .1              15              0.11774         6.986002        5.130000        67.174028       5.460000        1655            .01             0               0               0               biphenyl        0.22           
Tau.4Power20                                  50              20              39.2753         5               .4              .4              15              0.47096         31.288110       5.080000        47.191288       6.030000        1350            .01             0               0               0               biphenyl        0.4            
Tau.2Power20                                  50              20              39.2753         5               .2              .2              15              0.23548         29.638723       5.140000        53.812831       5.460000        2194            .01             0               0               0               biphenyl        0.27           
Tau.75Power80                                 50              80              39.2753         5               .75             .75             15              0.88305         7.938999        4.880000        47.095093       5.870000        1365            .01             0               0               0               biphenyl        1.11           
Tau1Power80                                   50              80              39.2753         5               1               1               15              1.1774          8.393462        4.810000        44.654016       6.590000        1409            .01             0               0               0               biphenyl        1.4            
Tau.5Power50                                  50              50              39.2753         5               .5              .5              15              0.5887          12.220163       5.130000        50.239044       5.630000        1782            .01             0               0               0               biphenyl        0.61           
Tau.75Power50                                 50              50              39.2753         5               .75             .75             15              0.88305         15.093516       5.130000        46.279641       6.240000        1659            .01             0               0               0               biphenyl        0.84           
Tau1Power65                                   50              65              39.2753         5               1               1               15              1.1774          9.768368        4.970000        43.381245       7.030000        1645            .01             0               0               0               biphenyl        1.22           
